name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,Procent_masy_max,Kategoria_masy
Imilac,12025,Valid,"Pallasite, PMG",920000.0,Found,1822.0,-24.20333,-68.80667,"(-24.203330, -68.806670)",1.5333333333333334,i
Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000.0,Found,1837.0,35.78333,-83.25,"(35.783330, -83.250000)",1.6,i
Tucson,24061,Valid,"Iron, ungrouped",975000.0,Found,1850.0,31.85,-110.96667,"(31.850000, -110.966670)",1.625,i
Los Sauces,14710,Valid,Iron,997000.0,Found,1937.0,-29.41667,-66.85,"(-29.416670, -66.850000)",1.6616666666666666,i
Bilibino,5046,Valid,"Iron, IIAB",1000000.0,Found,1981.0,67.3,160.8,"(67.300000, 160.800000)",1.6666666666666667,i
Zacatecas (1792),30381,Valid,"Iron, ungrouped",1000000.0,Found,1792.0,22.81667,-102.56667,"(22.816670, -102.566670)",1.6666666666666667,i
Fukang,34491,Valid,"Pallasite, PMG",1003000.0,Found,2000.0,44.43333,87.63333,"(44.433330, 87.633330)",1.6716666666666666,i
Norton County,17922,Valid,Aubrite,1100000.0,Fell,1948.0,39.68333,-99.86667,"(39.683330, -99.866670)",1.8333333333333333,i
Kunya-Urgench,12379,Valid,H5,1100000.0,Fell,1998.0,42.25,59.2,"(42.250000, 59.200000)",1.8333333333333333,i
Murnpeowie,16878,Valid,"Iron, IC",1143000.0,Found,1909.0,-29.58333,139.9,"(-29.583330, 139.900000)",1.905,i
Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500.0,Found,1938.0,41.98,-120.54167,"(41.980000, -120.541670)",1.9491666666666667,i
Kouga Mountains,12352,Valid,"Iron, IIIAB",1173000.0,Found,1903.0,-33.61667,24.0,"(-33.616670, 24.000000)",1.955,i
Alkhamasin,475,Valid,"Iron, IIAB",1200000.0,Found,1973.0,20.6,44.88333,"(20.600000, 44.883330)",2.0,i
Tsarev,24058,Valid,L5,1225300.0,Found,1968.0,48.7,45.7,"(48.700000, 45.700000)",2.0421666666666667,i
Santa Apolonia,23160,Valid,"Iron, IIIAB",1316000.0,Found,1872.0,19.21667,-98.3,"(19.216670, -98.300000)",2.1933333333333334,i
Charcas,5326,Valid,"Iron, IIIAB",1400000.0,Found,1804.0,23.08333,-101.01667,"(23.083330, -101.016670)",2.3333333333333335,i
Quinn Canyon,22364,Valid,"Iron, IIIAB",1450000.0,Found,1908.0,38.08333,-115.53333,"(38.083330, -115.533330)",2.4166666666666665,i
Bitburg,5062,Valid,"Iron, IAB complex",1500000.0,Found,1805.0,49.96667,6.53333,"(49.966670, 6.533330)",2.5,i
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000.0,Found,1867.0,30.4,-107.8,"(30.400000, -107.800000)",2.575,i
Odessa (iron),17985,Valid,"Iron, IAB-MG",1600000.0,Found,1922.0,31.71667,-102.4,"(31.716670, -102.400000)",2.6666666666666665,i
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000.0,Found,2009.0,22.01833,26.08778,"(22.018330, 26.087780)",2.6666666666666665,i
Ghubara,10911,Valid,L5,1750000.0,Found,1954.0,19.22778,56.14278,"(19.227780, 56.142780)",2.9166666666666665,i
Santa Luzia,23166,Valid,"Iron, IIAB",1918000.0,Found,1921.0,-16.26667,-47.95,"(-16.266670, -47.950000)",3.1966666666666668,i
Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)",3.3333333333333335,i
Campinorte,52093,Valid,"Iron, ungrouped",2000000.0,Found,1992.0,-14.258,-49.15917,"(-14.258000, -49.159170)",3.3333333333333335,i
Henbury,11872,Valid,"Iron, IIIAB",2000000.0,Found,1931.0,-24.56667,133.16667,"(-24.566670, 133.166670)",3.3333333333333335,i
Zhaoping,54609,Valid,"Iron, IAB complex",2000000.0,Found,1983.0,24.23333,111.18333,"(24.233330, 111.183330)",3.3333333333333335,i
Coahuila,5387,Valid,"Iron, IIAB",2100000.0,Found,1837.0,28.7,-102.73333,"(28.700000, -102.733330)",3.5,i
Navajo,16926,Valid,"Iron, IIAB",2184000.0,Found,1921.0,35.33333,-109.5,"(35.333330, -109.500000)",3.64,i
Huckitta,11922,Valid,"Pallasite, PMG-an",2300000.0,Found,1924.0,-22.36667,135.76667,"(-22.366670, 135.766670)",3.8333333333333335,i
Wabar,24194,Valid,"Iron, IIIAB",2550000.0,Found,1863.0,21.49972,50.47222,"(21.499720, 50.472220)",4.25,i
Old Woman,18007,Valid,"Iron, IIAB",2753000.0,Found,1976.0,34.46667,-115.23333,"(34.466670, -115.233330)",4.588333333333333,i
Toluca,24018,Valid,"Iron, IAB-sLL",3000000.0,Found,1776.0,19.56667,-99.56667,"(19.566670, -99.566670)",5.0,i
Al Haggounia 001,44857,Valid,Aubrite,3000000.0,Found,2006.0,27.5,-12.5,"(27.500000, -12.500000)",5.0,i
Xifu,54608,Valid,"Iron, IAB complex",3000000.0,Found,2004.0,36.3,120.48333,"(36.300000, 120.483330)",5.0,i
Yingde,30363,Valid,"Iron, IVA",3000000.0,Found,1964.0,24.2,113.4,"(24.200000, 113.400000)",5.0,i
Youndegin,30374,Valid,"Iron, IAB-MG",3800000.0,Found,1884.0,-32.1,117.71667,"(-32.100000, 117.716670)",6.333333333333333,i
Vaca Muerta,24142,Valid,Mesosiderite-A1,3828000.0,Found,1861.0,-25.75,-70.5,"(-25.750000, -70.500000)",6.38,i
Jilin,12171,Valid,H5,4000000.0,Fell,1976.0,44.05,126.16667,"(44.050000, 126.166670)",6.666666666666667,i
Brenham,5136,Valid,"Pallasite, PMG-an",4300000.0,Found,1882.0,37.5825,-99.16361,"(37.582500, -99.163610)",7.166666666666667,i
Bendegó,5015,Valid,"Iron, IC",5360000.0,Found,1784.0,-10.11667,-39.2,"(-10.116670, -39.200000)",8.933333333333334,i
Santa Catharina,23162,Valid,"Iron, IAB-ung",7000000.0,Found,1875.0,-26.21667,-48.6,"(-26.216670, -48.600000)",11.666666666666666,j
Cranbourne,5463,Valid,"Iron, IAB-MG",8600000.0,Found,1854.0,-38.1,145.3,"(-38.100000, 145.300000)",14.333333333333334,j
Nantan,16906,Valid,"Iron, IAB-MG",9500000.0,Found,1958.0,25.1,107.7,"(25.100000, 107.700000)",15.833333333333334,j
Morito,16745,Valid,"Iron, IIIAB",10100000.0,Found,1600.0,27.05,-105.43333,"(27.050000, -105.433330)",16.833333333333332,j
Willamette,24269,Valid,"Iron, IIIAB",15500000.0,Found,1902.0,45.36667,-122.58333,"(45.366670, -122.583330)",25.833333333333332,j
Mbosi,15456,Valid,"Iron, ungrouped",16000000.0,Found,1930.0,-9.11667,33.06667,"(-9.116670, 33.066670)",26.666666666666668,j
Bacubirito,4919,Valid,"Iron, ungrouped",22000000.0,Found,1863.0,26.2,-107.83333,"(26.200000, -107.833330)",36.666666666666664,j
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000.0,Fell,1947.0,46.16,134.65333,"(46.160000, 134.653330)",38.333333333333336,j
Mundrabilla,16852,Valid,"Iron, IAB-ung",24000000.0,Found,1911.0,-30.78333,127.55,"(-30.783330, 127.550000)",40.0,j
Chupaderos,5363,Valid,"Iron, IIIAB",24300000.0,Found,1852.0,27.0,-105.1,"(27.000000, -105.100000)",40.5,j
Gibeon,10912,Valid,"Iron, IVA",26000000.0,Found,1836.0,-25.5,18.0,"(-25.500000, 18.000000)",43.333333333333336,j
Armanty,2335,Valid,"Iron, IIIE",28000000.0,Found,1898.0,47.0,88.0,"(47.000000, 88.000000)",46.666666666666664,j
Canyon Diablo,5257,Valid,"Iron, IAB-MG",30000000.0,Found,1891.0,35.05,-111.03333,"(35.050000, -111.033330)",50.0,j
Campo del Cielo,5247,Valid,"Iron, IAB-MG",50000000.0,Found,1575.0,-27.46667,-60.58333,"(-27.466670, -60.583330)",83.33333333333333,j
Cape York,5262,Valid,"Iron, IIIAB",58200000.0,Found,1818.0,76.13333,-64.93333,"(76.133330, -64.933330)",97.0,j
Hoba,11890,Valid,"Iron, IVB",60000000.0,Found,1920.0,-19.58333,17.91667,"(-19.583330, 17.916670)",100.0,j
