name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,Procent_masy_max,Kategoria_masy
Österplana 064,56163,Relict,Relict OC,0.0,Found,2011.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 056,56155,Relict,Relict OC,0.0,Found,2008.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 057,56156,Relict,Relict OC,0.0,Found,2009.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 055,56154,Relict,Relict OC,0.0,Found,2008.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 054,56153,Relict,Relict OC,0.0,Found,2005.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 053,56152,Relict,Relict OC,0.0,Found,2002.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 052,56151,Relict,Relict OC,0.0,Found,2006.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 051,56150,Relict,Relict OC,0.0,Found,2006.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 050,56149,Relict,Relict OC,0.0,Found,2003.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 049,56148,Relict,Relict OC,0.0,Found,2012.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Miller Range 090478,55953,Valid,CO3,0.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.0,a
Österplana 058,56157,Relict,Relict OC,0.0,Found,2009.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 059,56158,Relict,Relict OC,0.0,Found,2009.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 060,56159,Relict,Relict OC,0.0,Found,2009.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Gove,52859,Relict,Relict iron,0.0,Found,1979.0,-12.26333,136.83833,"(-12.263330, 136.838330)",0.0,a
Österplana 048,56147,Relict,Relict OC,0.0,Found,2004.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 063,56162,Relict,Relict OC,0.0,Found,2010.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 062,56161,Relict,Relict OC,0.0,Found,2010.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Österplana 061,56160,Relict,Relict OC,0.0,Found,2009.0,58.58333,13.43333,"(58.583330, 13.433330)",0.0,a
Yamato 8333,29438,Valid,H5,0.01,Found,1983.0,-71.5,35.66667,"(-71.500000, 35.666670)",1.6666666666666667e-08,a
Meteorite Hills 001139,45809,Relict,Fusion crust,0.013,Found,2000.0,-79.68333,159.75,"(-79.683330, 159.750000)",2.166666666666667e-08,a
Yamato 8408,29455,Valid,E5,0.02,Found,1984.0,-71.5,35.66667,"(-71.500000, 35.666670)",3.3333333333333334e-08,a
Grove Mountains 050023,48150,Valid,L6,0.03,Found,2006.0,-73.1075,75.1525,"(-73.107500, 75.152500)",5e-08,a
Yamato 75088,25129,Valid,L6,0.07,Found,1975.0,-71.5,35.66667,"(-71.500000, 35.666670)",1.1666666666666668e-07,b
Queen Alexandra Range 971018,20526,Valid,LL5,0.1,Found,1997.0,-84.0,168.0,"(-84.000000, 168.000000)",1.6666666666666668e-07,b
Vilna,24183,Valid,L5,0.1,Fell,1967.0,54.225,-111.69167,"(54.225000, -111.691670)",1.6666666666666668e-07,b
Queen Alexandra Range 99064,21516,Valid,L5,0.1,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)",1.6666666666666668e-07,b
Frontier Mountain 01156,10338,Valid,H3/4,0.1,Found,2001.0,-72.98944,160.40222,"(-72.989440, 160.402220)",1.6666666666666668e-07,b
Queen Alexandra Range 99063,21515,Valid,LL5,0.1,Found,1999.0,-84.0,168.0,"(-84.000000, 168.000000)",1.6666666666666668e-07,b
Lewis Cliff 87056,13530,Valid,Aubrite,0.1,Found,1987.0,-84.34532,161.47809,"(-84.345320, 161.478090)",1.6666666666666668e-07,b
Miller Butte 09001,55371,Valid,H5,0.1,Found,2009.0,-71.90355,160.48982,"(-71.903550, 160.489820)",1.6666666666666668e-07,b
Pecora Escarpment 91357,18648,Valid,L6,0.1,Found,1991.0,-85.67623,-69.08566,"(-85.676230, -69.085660)",1.6666666666666668e-07,b
Yoshiki,30372,Valid,Stone-uncl,0.1,Fell,1928.0,34.16667,131.45,"(34.166670, 131.450000)",1.6666666666666668e-07,b
Allan Hills 83026,546,Valid,CO3,0.1,Found,1983.0,-76.82234,158.21493,"(-76.822340, 158.214930)",1.6666666666666668e-07,b
Khatyrka,55600,Valid,CV3,0.1,Found,2011.0,62.65316,174.50043,"(62.653160, 174.500430)",1.6666666666666668e-07,b
Buckley Island 10958,53895,Valid,LL6,0.1,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)",1.6666666666666668e-07,b
MacAlpine Hills 02689,14986,Valid,L5,0.11,Found,2002.0,-84.21667,160.5,"(-84.216670, 160.500000)",1.8333333333333333e-07,b
Yamato 75090,25131,Valid,L6,0.12,Found,1975.0,-71.5,35.66667,"(-71.500000, 35.666670)",2e-07,b
Yamato 8406,29453,Valid,E5,0.12,Found,1984.0,-71.5,35.66667,"(-71.500000, 35.666670)",2e-07,b
MacAlpine Hills 02694,14991,Valid,H6,0.12,Found,2002.0,-84.21667,160.5,"(-84.216670, 160.500000)",2e-07,b
Yamato 74416,24794,Valid,H5,0.13,Found,1974.0,0.0,35.66667,"(0.000000, 35.666670)",2.1666666666666667e-07,b
Yamato 75247,25288,Valid,L6,0.13,Found,1975.0,-71.5,35.66667,"(-71.500000, 35.666670)",2.1666666666666667e-07,b
Yamato 75086,25127,Valid,L6,0.13,Found,1975.0,-71.5,35.66667,"(-71.500000, 35.666670)",2.1666666666666667e-07,b
Yamato 74415,24793,Valid,H5,0.14,Found,1974.0,0.0,35.66667,"(0.000000, 35.666670)",2.3333333333333336e-07,b
Yamato 82114,29308,Valid,L6,0.14,Found,1982.0,-71.5,35.66667,"(-71.500000, 35.666670)",2.3333333333333336e-07,b
Yamato 8330,29435,Valid,H5,0.14,Found,1983.0,-71.5,35.66667,"(-71.500000, 35.666670)",2.3333333333333336e-07,b
Yamato 75089,25130,Valid,L6,0.14,Found,1975.0,-71.5,35.66667,"(-71.500000, 35.666670)",2.3333333333333336e-07,b
